板块,组,条款,要求,实际,通过
行业板块00,A 板块,A.1 站上 20/60 日均线,收盘 > MA20 且 > MA60,"收盘 1,802.91 / MA20 1,776.39 / MA60 1,854.76",False
行业板块00,A 板块,A.1 MA60 走平或向上,20 日斜率 ≥ 0.0,-1.20%,False
行业板块00,A 板块,A.2 反转确认（放量长阳/连续放量）,20 日内出现单日涨 ≥3% 且量比 ≥1.5,不成立,False
行业板块00,A 板块,A.2 回调确认（幅度/回撤/缩量）,第一波涨幅 ≥20%，回撤 ≤50%，且缩量,本波涨幅 4.70%，当前回撤 18.84%,False
行业板块00,A 板块,A.2 买点类型,反转 或 回调,—,
行业板块00,A 板块,A.3 成分股增速环比改善广度,≥ 60%,52.00%,False
行业板块00,A 板块,A.3 板块增速加速（季度环比）,本季增速中位数 > 上季,增速中位数 -0.31%,True
行业板块00,A 板块,A.3 板块增速为正,增速中位数 > 0,-0.31%,False
行业板块00,A 板块,A.3 基本面门槛合计,至少满足 2 条,满足 1 条,False
行业板块00,A 板块,板块总判定,技术面 且 基本面 同时成立,不合格,False
行业板块00,B 个股,B.1 涨幅龙头（板块启动以来）,板块内前 3 名,第 16/25 名，涨幅 0.35%（启动日 2025-08-06）,False
行业板块00,B 个股,B.1 相对强度 RPS,≥ 90,52.0,False
行业板块00,B 个股,B.2 业绩龙头（营收+净利增速综合）,板块内前 3 名,第 15/25 名，营收同比 -4.85%，净利同比 -5.31%,False
行业板块00,B 个股,B.2 ROE 高于板块中位数,ROE ≥ 9.78%,3.17%,False
行业板块00,B 个股,B.4 排除 ST / 退市风险,非 ST、非退市整理,行业股02,True
行业板块00,B 个股,B.4 流动性,日均成交额 ≥ 计划持仓 × 100,20 日均额 4.53 亿元 → 可容纳单笔持仓上限约 453.01 万元,True
行业板块00,B 个股,B.4 质押 / 减持 / 违规,大股东无高质押、近期无重要股东减持、无监管处罚,本工具不覆盖，须人工查公告,
行业板块00,C 介入,C.4 禁止追高（对 MA20 乖离率）,≤ 15%,-3.47%,True
行业板块00,C 介入,C.1 买点一：回调至 MA20 缩量企稳,|乖离| ≤3%、量 < 5日均量×0.8、收阳,乖离 -3.47%、量比 0.94、收阴,False
行业板块00,C 介入,C.1 买点二：放量突破回调期高点,收盘 > 前 10 日高点 且 量 ≥ 5日均量×1.2,前高 152.93、现价 143.22,False
行业板块00,C 介入,C.2/C.3 仓位纪律,首笔 ≤ 计划仓位 33%；单股 ≤20%、单板块 ≤40%,由你执行，工具不代管,
行业板块00,D 风控,D.1 硬止损位（若此刻买入）,买入价 −8%,约 131.76 元,
行业板块00,D 风控,D.1 均线止损位,连续 2 日收在 MA20×(1−1%) 下方,当前 MA20 148.38 → 触发线约 146.89 元,
行业板块00,D 风控,风险回报预估,止损 8%，需盈亏比 ≥2 才值得进,目标价至少 166.13 元（+16%）,
行业板块00,D 风控,D.4 板块级退出信号,板块指数跌破 MA60 即清仓该板块,已跌破,False
