参数,取值,笔数,胜率,盈亏比,期望收益,年化,最大回撤
sector.leg_up_min_return,0.15,121,0.438,3.14,0.0343,0.4207,-0.0672
sector.leg_up_min_return,0.2,116,0.4741,2.98,0.0369,0.4264,-0.0742
sector.leg_up_min_return,0.25,111,0.4775,3.01,0.0382,0.4075,-0.0743
sector.leg_up_min_return,0.3,109,0.4404,2.99,0.0344,0.3775,-0.0688
sector.max_retracement,0.382,116,0.4741,2.98,0.0369,0.4264,-0.0742
sector.max_retracement,0.5,116,0.4741,2.98,0.0369,0.4264,-0.0742
sector.max_retracement,0.618,116,0.4741,2.98,0.0369,0.4264,-0.0742
pick.rps_min,80.0,119,0.4958,2.64,0.0353,0.3935,-0.0658
pick.rps_min,85.0,114,0.4912,2.68,0.0359,0.383,-0.0728
pick.rps_min,90.0,116,0.4741,2.98,0.0369,0.4264,-0.0742
pick.rps_min,95.0,114,0.4737,2.87,0.0345,0.3833,-0.0758
exit.hard_stop,0.06,124,0.4597,2.62,0.0273,0.3388,-0.0745
exit.hard_stop,0.08,116,0.4741,2.98,0.0369,0.4264,-0.0742
exit.hard_stop,0.1,113,0.4779,2.95,0.0378,0.4233,-0.0758
exit.hard_stop,0.12,112,0.4821,3.07,0.0395,0.4259,-0.0754
entry.max_ma_extension,0.1,117,0.453,3.15,0.0356,0.4014,-0.0633
entry.max_ma_extension,0.15,116,0.4741,2.98,0.0369,0.4264,-0.0742
entry.max_ma_extension,0.2,126,0.4444,2.69,0.0289,0.3854,-0.0643
entry.max_ma_extension,0.3,128,0.4453,2.63,0.0282,0.3894,-0.0639
