code,board,board_name,entry_date,exit_date,holding_days,shares,entry_price,exit_price,pnl,return,entry_reason,setup,exit_reason,tranches
601024,BK9010,行业板块10,2024-03-15,2024-03-18,1,700,44.00459113909199,46.99702224162211,2069.699355938541,0.06719102005244758,momentum,回调,逻辑止损-业绩转差,1
600006,BK9000,行业板块00,2024-03-21,2024-03-22,1,300,102.93396540742127,106.31949445889387,991.4178707051542,0.03210530384799093,momentum,回调,逻辑止损-业绩转差,1
602120,BK9021,行业板块21,2024-03-20,2024-03-25,3,1100,59.1569475445307,57.257643934349524,-2137.10136152841,-0.03284177937187875,fundamental,反转+回调,跌破20日线,1
602012,BK9020,题材板块20,2024-03-27,2024-04-02,4,4300,15.692409687825563,14.988924167781294,-3073.971540370665,-0.04555559768276993,fundamental,反转,跌破20日线,1
600001,BK9000,行业板块00,2024-03-21,2024-04-02,8,300,177.1960953126172,162.8573872799202,-4338.74389410892,-0.08161850080000008,momentum,回调,硬止损-8%,1
601024,BK9010,行业板块10,2024-03-15,2024-04-15,21,3500,47.70046136333067,47.144044838169,-2072.860997335374,-0.012415938594966348,momentum,回调,跌破20日线,3
601004,BK9010,行业板块10,2024-03-15,2024-04-15,21,2800,23.43593196781118,22.920444811711782,-1492.1387436376317,-0.022738873576192087,fundamental,回调,跌破20日线,1
600006,BK9000,行业板块00,2024-03-21,2024-04-16,18,300,102.93396540742127,98.91481831476874,-1228.296706371526,-0.039776203494794764,momentum,回调,板块跌破60日线,1
600222,BK9002,行业板块02,2024-04-09,2024-04-17,6,1400,47.7603115702667,43.895547158000724,-5457.375039348481,-0.08161850079999991,momentum,回调,硬止损-8%,1
602421,BK9024,行业板块24,2024-04-09,2024-04-26,13,1400,46.246160065158165,44.39004266367123,-2645.7953674758537,-0.04086509736697338,fundamental,回调,跌破20日线,1
602120,BK9021,行业板块21,2024-04-16,2024-05-07,15,1900,65.99982323555035,64.20744216814478,-3498.2395745613903,-0.02789672203942548,fundamental,回调,跌破20日线,2
602409,BK9024,行业板块24,2024-03-19,2024-05-27,49,2900,23.410438277252624,25.586277203955298,6253.540732480236,0.09211247267091897,fundamental,回调,逻辑止损-业绩转差,2
602421,BK9024,行业板块24,2024-05-21,2024-05-27,4,700,45.7783678075249,48.56081359452066,1921.8776980647453,0.05997460591446904,fundamental,回调,逻辑止损-业绩转差,1
601301,BK9013,行业板块13,2024-05-21,2024-06-03,9,2000,65.53897612145707,61.97082430708506,-7230.499281690805,-0.05516182666854008,momentum,回调,跌破20日线,2
600800,BK9008,行业板块08,2024-06-03,2024-06-04,1,900,37.93123632019161,39.59390499117373,1469.319572869943,0.043040445331326296,momentum,回调,逻辑止损-业绩转差,1
602403,BK9024,行业板块24,2024-06-04,2024-06-05,1,500,59.373413005169205,58.85981834061047,-279.16406324880154,-0.009403672422351628,momentum,回调,逻辑止损-业绩转差,1
602421,BK9024,行业板块24,2024-05-21,2024-06-06,12,800,45.7783678075249,45.80081520726454,-9.888975854308228,-0.0002700231661787948,fundamental,回调,跌破20日线,1
602105,BK9021,行业板块21,2024-03-20,2024-06-07,57,1200,104.36159714331333,117.61266190712514,15794.014968914897,0.12611611455781283,momentum,反转+回调,板块跌破60日线,2
602112,BK9021,行业板块21,2024-03-25,2024-06-07,54,1600,117.67822355421623,143.68973452160682,41443.690830646665,0.22011130000803045,momentum,反转+回调,板块跌破60日线,3
601307,BK9013,行业板块13,2024-06-03,2024-06-07,4,2900,23.523566951869654,22.20078383787174,-3885.0015581726257,-0.05694951418106354,fundamental,回调,跌破20日线,1
602400,BK9024,行业板块24,2024-06-07,2024-06-18,7,4000,17.44115163419315,16.029813643954242,-5694.082594433254,-0.08161850079999992,fundamental,回调,硬止损-8%,1
602422,BK9024,行业板块24,2024-06-10,2024-06-19,7,3200,43.48135028603306,39.96283942088727,-11356.424393938141,-0.08161850079999998,fundamental,回调,硬止损-8%,2
602403,BK9024,行业板块24,2024-06-04,2024-06-20,12,600,59.373413005169205,55.47472888152085,-2364.506950558978,-0.06637389899171194,momentum,回调,跌破20日线,1
602409,BK9024,行业板块24,2024-03-19,2024-06-26,71,5500,25.252411651625298,26.714750416256795,7931.195548733289,0.057104864842575584,fundamental,回调,板块跌破60日线,3
600801,BK9008,行业板块08,2024-06-03,2024-07-18,33,2500,55.004901361584544,63.04371858302913,19977.259988303704,0.14527621716457315,momentum,回调,跌破20日线,2
600800,BK9008,行业板块08,2024-06-03,2024-07-18,33,4100,41.324454399268376,46.85136731791344,22514.354105882143,0.13288271942873298,momentum,回调,跌破20日线,3
600603,BK9006,行业板块06,2024-07-22,2024-07-23,1,300,113.55777986101751,112.63823383027858,-301.5453265349788,-0.008851450685986695,momentum,反转+回调,逻辑止损-业绩转差,1
600819,BK9008,行业板块08,2024-07-31,2024-08-01,1,700,95.6052865106241,93.67916591295506,-1398.1217346340272,-0.020891279516650423,momentum,回调,跌破20日线,1
601308,BK9013,行业板块13,2024-08-02,2024-08-05,1,400,81.10381443747482,78.84996082015779,-925.5118350161392,-0.028528616114894385,momentum,反转,逻辑止损-业绩转差,1
600316,BK9003,行业板块03,2024-07-26,2024-08-12,11,3300,21.800892197320135,21.855011943651515,123.78279293887317,0.0017205689067539577,fundamental,反转,跌破20日线,1
601410,BK9014,题材板块14,2024-08-07,2024-08-21,10,3400,22.66810243841319,20.833799589096795,-6290.464225813965,-0.08161850079999994,fundamental,反转,硬止损-8%,1
600806,BK9008,行业板块08,2024-08-02,2024-08-22,14,8300,8.741270113224429,8.430631199258233,-2631.4834075243416,-0.03627003737111167,fundamental,回调,跌破20日线,1
601402,BK9014,题材板块14,2024-08-27,2024-08-28,1,600,57.119488456511924,58.8109576953904,988.0637466179905,0.02883031615879682,momentum,反转,逻辑止损-业绩转差,1
600617,BK9006,行业板块06,2024-07-25,2024-09-02,27,3500,42.83217845604582,45.45184310797776,9047.924379094562,0.0603546526082654,fundamental,反转,跌破20日线,2
601322,BK9013,行业板块13,2024-09-03,2024-09-03,0,2700,30.986985481298436,28.47951861615177,-6828.600508096351,-0.08161850080000001,fundamental,反转,硬止损-8%,1
601308,BK9013,行业板块13,2024-08-02,2024-09-05,24,1300,88.54407544676168,89.93983946906987,1725.6326676051976,0.014991513973284564,momentum,反转,跌破20日线,2
600615,BK9006,行业板块06,2024-07-22,2024-09-06,34,1500,69.37308166954256,80.23877022132439,16207.06062962045,0.15574783224827268,fundamental,反转+回调,逻辑止损-业绩转差,3
601410,BK9014,题材板块14,2024-09-10,2024-09-19,7,1900,22.09290695661989,23.24374006086923,2153.0189374258553,0.051291025849522304,fundamental,反转+回调,逻辑止损-业绩转差,1
600602,BK9006,行业板块06,2024-07-22,2024-09-20,44,6600,32.17976225764596,43.465278133463364,74266.38294527744,0.34967574260939005,momentum,反转+回调,跌破20日线,3
601410,BK9014,题材板块14,2024-09-10,2024-09-30,14,4600,24.366888985873235,22.395120329136375,-9148.429161660213,-0.08161850079999988,fundamental,反转+回调,硬止损-8%,2
600819,BK9008,行业板块08,2024-08-22,2024-10-08,33,700,130.44283928245304,140.26208670607028,6798.853766404442,0.07445903731587328,momentum,反转+回调,逻辑止损-业绩转差,3
601402,BK9014,题材板块14,2024-08-27,2024-10-11,33,1400,67.27979821276797,68.36850130972684,1451.4402503488673,0.015409425466539665,momentum,反转,跌破20日线,2
600615,BK9006,行业板块06,2024-07-22,2024-10-14,60,1600,69.37308166954256,85.07458414996428,25018.9532743484,0.2254022081785784,fundamental,反转+回调,跌破20日线,3
600819,BK9008,行业板块08,2024-08-22,2024-10-14,37,800,130.44283928245304,138.95279446404942,6723.480846242965,0.06442937844679562,momentum,反转+回调,跌破20日线,3
602311,BK9023,行业板块23,2024-10-15,2024-10-18,3,3400,25.639797059893777,24.273418121448948,-4708.4109031382395,-0.054010830623277425,fundamental,反转,跌破20日线,1
602308,BK9023,行业板块23,2024-10-08,2024-10-21,9,3000,28.470897726904976,28.339423331056512,-459.0370727401896,-0.005374342567198598,fundamental,反转,跌破20日线,1
601710,BK9017,题材板块17,2024-09-10,2024-11-04,39,2500,34.667038072163905,35.50739412916194,2033.4260936496867,0.023462357406096805,fundamental,回调,逻辑止损-业绩转差,2
601202,BK9012,题材板块12,2024-10-25,2024-11-05,7,400,88.71346809954062,81.5347742609258,-2896.2641068212506,-0.08161850079999995,momentum,回调,硬止损-8%,1
601710,BK9017,题材板块17,2024-09-10,2024-11-06,41,2500,34.667038072163905,34.5390941273303,-385.48414092593885,-0.004447846281225457,fundamental,回调,跌破20日线,2
600603,BK9006,行业板块06,2024-07-22,2024-11-15,84,1300,129.96074893995873,209.20234827297503,102807.38721282745,0.6085114636024805,momentum,反转+回调,板块跌破60日线,3
600801,BK9008,行业板块08,2024-08-13,2024-11-15,68,2300,91.05271079222778,103.49352371371963,28432.96303997966,0.13576924548329478,momentum,反转,板块跌破60日线,3
602700,BK9027,行业板块27,2024-11-04,2024-11-21,13,1000,82.26270790127296,80.93672472595487,-1387.4950861098187,-0.016866635216713406,both,回调,跌破20日线,1
602700,BK9027,行业板块27,2024-11-22,2024-11-26,2,1200,82.26452438702454,80.03913814877727,-2743.4591798884067,-0.027791031435184962,both,回调,板块跌破60日线,1
602023,BK9020,题材板块20,2024-11-28,2024-11-29,1,1300,36.26683113603609,36.20183492717603,-120.26248442612268,-0.002550804702448589,both,反转,逻辑止损-业绩转差,1
602004,BK9020,题材板块20,2024-10-24,2024-12-03,28,4400,42.1602052926898,41.683212866669926,-2238.155338313576,-0.012065208512794863,fundamental,回调,跌破20日线,2
602023,BK9020,题材板块20,2024-11-28,2024-12-05,5,1400,36.266831136036096,33.33211916050806,-4144.062140526032,-0.08161850079999988,both,反转,硬止损-8%,1
601715,BK9017,题材板块17,2024-09-24,2024-12-09,54,1600,146.4308400785178,203.92145911847223,91737.02196963906,0.39155439318848695,momentum,反转+回调,跌破20日线,3
602008,BK9020,题材板块20,2024-12-17,2024-12-23,4,1800,54.078649567899,51.03645755481477,-5545.763497486594,-0.05697220151471294,fundamental,回调,跌破20日线,1
602700,BK9027,行业板块27,2024-12-10,2024-12-30,14,500,83.77559629770022,88.72693165069911,2441.9514424721856,0.05829744103031162,both,反转,逻辑止损-业绩转差,1
601103,BK9011,行业板块11,2025-01-08,2025-01-13,3,1700,58.46645779357295,61.277891587106026,4700.266413075689,0.04728972303553525,momentum,回调,板块跌破60日线,1
601121,BK9011,行业板块11,2025-01-09,2025-01-13,2,4400,23.109716637988328,23.15539930285374,123.57207013908192,0.0012152706947985588,fundamental,回调,板块跌破60日线,1
601702,BK9017,题材板块17,2024-10-14,2025-01-14,66,26400,9.946702147471255,13.944965706075358,105274.36615522159,0.40090326678589316,fundamental,反转,跌破20日线,3
602820,BK9028,行业板块28,2024-12-11,2025-01-16,26,14100,7.004183627637122,7.511151968623976,7067.764103418856,0.07156578013072457,fundamental,反转,跌破20日线,1
601117,BK9011,行业板块11,2025-01-20,2025-01-21,1,6000,16.655272738574084,16.151531939773932,-3096.0957784462807,-0.030982138279805678,momentum,回调,板块跌破60日线,1
602821,BK9028,行业板块28,2025-01-31,2025-02-03,1,1000,48.090170609471166,49.05126790192875,923.818328852125,0.019210127914792274,momentum,回调,逻辑止损-业绩转差,1
600010,BK9000,行业板块00,2025-01-20,2025-02-19,22,3600,42.65895374787764,46.80537682635828,14799.063571533392,0.09636549026468169,momentum,回调,逻辑止损-业绩转差,3
600014,BK9000,行业板块00,2025-01-21,2025-02-19,21,2200,67.29894052095504,76.57544932145058,20280.28520982471,0.13697558070978696,fundamental,回调,逻辑止损-业绩转差,3
602800,BK9028,行业板块28,2025-01-29,2025-02-19,15,6000,26.171681137743178,29.143191747019713,17696.17070129281,0.11269286707361777,fundamental,回调,逻辑止损-业绩转差,3
600019,BK9000,行业板块00,2025-01-30,2025-02-19,14,600,78.65813822067807,85.12907750787531,3843.7447129747525,0.08144409889690406,both,回调,逻辑止损-业绩转差,1
602821,BK9028,行业板块28,2025-01-31,2025-02-25,17,1100,48.09017060947117,44.19871400375276,-4317.552391197387,-0.08161850080000004,momentum,回调,硬止损-8%,1
601815,BK9018,行业板块18,2025-02-19,2025-02-28,7,1000,107.98043456588003,99.24265780080901,-8813.201184999634,-0.08161850080000006,fundamental,反转,硬止损-8%,1
